one gym,^Field has,it's got
my house,be at,this afternoon
tennis court a,and a,together wow
this one,okay ohh,slow down
this one,again okay,yes and
this one,of that,yes okay
it's and,with dinner,only two
our hotel,so here's,on the
the exit,and drive,thank you
the public part,up into,and the
a tennis court,they've got,here and
@NASA,can see,the ^Moffett
^McDonald's,go to,get some
^McDonald's,go to,okay %hes
^McDonald's,over to,great %int
^McDonald's,arriving at,so I
^Nano,to ^Nano,technologies now
the ^Crown building,%unint at,at the
this big this green building,right is,up over
one way street this,again into,and we
the post office,just behind,over there
barracks the army,intersection %uh-huh,is up
^Start-Up ^Funds ^Crown,now at,the first
gym the,going to,the gym
this way,to exit,it's ohh
this way,we continue,back towards
the other end of this car park,just at,while you
this stop sign,at sign,yes turn
the gas stand,okay %hes,is quite
where,just after,these cars
the main road,%hes along,and get
the main road,this of,here at
the stop sign,straight through,%spk and
the stop sign,at right,this stop
the stop sign,corner at,make a-
the stop sign,up at,we'll make
the stop sign,up to,at the
the post +office,right okay,again is
building the ^Crown ^Start-Up ^Funds,building at,yes okay
this main road,way along,until we
the car park,%hes exit,again okay
the car park,out of,and I'll
the car park,out of,and we
the car park,to exit,we have
the car park,right into,and just
the car park,out of,and we
the car park,pull into,and we
the car park,out of,and turn
the car park,here into,and find
^Field ^Moffett,%hes of,so we
^Nanotechnologies,your meeting,is just
^Nanotechnologies,%int so,is in
^Nanotech,go to,welcome back
^Nanotech,at ohh,right yes
a gym,a pool,and a
there's,around %hes,a post
there's,around yes,a ^McDonald's
the main car park,pull into,again okay
the expressway,we'll take,around to
the expressway,we'll take,around want
this car park,out of,%uh-huh and
this car park,pull into,after the
this car park,U-turn around,%int %spk
this car park,end of,while you
here,straight ahead,ohh okay
here,park up,okay and
here,the right,okay %int
here,anywhere around,it's quite
here,the right,<noise> okay
here,so up,we should
here,%spk so,we want
here,coming right,we want
here,and up,we want
here,left turn,okay and
here,exit it,and then
here,a left,right make
here,a left,oops and
here,from U-turn,%unint see
here,slow down,%hes we'll
here,slight right,and then
here,going straight,and make
here,going straight,and then
here,pull in,yes okay
here,pull up,okay %int
here,the right,and then
here,car park,I guess
here,turn right,%int at
here,the left,%int continue
here,turn left,onto that
here,car park,^Crown+ ^Start-up
here,tight turn,there's no
here,just got,and I
here,rabbit so,we want
here,army barracks,on our
here,in somewhere,okay we've
here,stop completely,yes %spk
here,the right,want to
here,hand turn,okay %int
here,turn right,%int so
here,actually so,is the
here,straight up,and then
here,head out,actually %uh-huh
here,to head,to our
here,turn back,into the
the corner,up to,at the
this first corner,then at,if there's
this area,familiar with,%spk so
the building,left around,ohh so
the building,the meeting,so ^Phil
the building,is in,coming up
this intersection,up at,we want
this intersection,go through,and then
this intersection,straight through,and the
this intersection,right at,%int <noise>
this intersection,left of,yes %spk
this intersection,straight through,%uh-huh the
