the drive-through,go through,left ohh
^California,raised in,yeah I
^California,raised in,it's ohh
^California,came to,I've been
there,%unint leave,%spk okay
there,<noise> ohh,is a
there,yes %spk,used to
there,get so,let's leave
there,a meeting,I need
there,will heading,now %int
a commissary,bowling alley,or a
the stop sign,see at,we make
the stop sign,road after,okay %int
the stop sign,straight after,okay %int
the stop sign,straight after,okay %int
the stop sign,right at,yeah okay
the stop sign,right at,ohh make
the stop sign,road after,okay make
the stop sign,straight after,hi ^Phil
the stop sign,right at,make a
road the end of the,way to,and make
stop sign,stop sign,okay straight
right the building on your,barracks is,ohh okay
it,bowling like,was alley
it,in fact,used to
it,now ohh,used to
it,they closed,down I
it,station too,yeah looked
it,ghost yeah,was creepy
it,the yeah,goes around
it,doing with,yeah it's
it,like own,%spk wow
the nearest gas station,go to,yes please
the swimming pool,side after,okay after
my house,be at,this afternoon
a museum,commissary or,let's try
place this,all yeah,used to
^Jose ^San,did yeah,actually in
that intersection,left at,okay let's
^Crown ^Start-Up ^Funds,directions to,okay <noise>
^Crown ^Start-Up ^Funds,way to,is by
^Crown ^Start-Up ^Funds,road and,is the
lot the hotel parking,left into,okay %int
sign the stop,left at,%int okay
sign the stop,straight after,go straight
the next stop sign,okay at,we make
the next stop sign,straight after,okay straight
the next stop sign,left at,okay %int
the next stop sign,left at,okay %int
the next stop sign,left at,%spk ohh
those hangars,ever seen,up close
parking lot the,let's leave,</noise> okay
parking lot the,okay into,behind the
parking lot the,%hes leave,%int I'll
intersection this,at make,%hes make
this stop sign,straight after,okay %int
this stop sign,straight after,the post
this stop sign,right at,<noise> at
this stop sign,stop sign,okay %int
this stop sign,road after,okay %int
this stop sign,straight after,%int okay
the army barracks,go to,okay %hes
the army barracks,directions to,%spk %int
the army barracks,%int and,is the
the army barracks,ohh to,okay ohh
it's,I think,closed now
it's,it yeah,like huge
a conference center,you have,a bowling
^Nanotech,go to,%hes I
^Nanotech,heading to,or to
^Nanotech,go to,%hes we'll
^Nanotech,go to,first okay
^Nanotech,running to,%hes first
^Nanotech,%int with,thank you
^Nanotech,right is,ohh okay
alley bowling,side </noise>,right here
the first intersection,right at,%spk okay
the first intersection,right at,okay %int
the first intersection,left at,%spk okay
stop sign the,straight after,stop sign
the hotel,back to,okay would
the hotel,directions to,yes please
the hotel,back to,to wash
the hotel,back to,and go
the hotel,back to,and I
the hotel,come to,lobby %spk
there's,I %spk,thought a
that you see ahead the building,^Funds is,ohh okay
first stop sign the,%int at,we make
the +hangar,ohh inside,and there
^Funds ^Crown ^Start-Up,go to,okay %spk
^Sam's,run to,first %hes
^Sam's,go to,first right
^Sam's,go to,afterwards okay
the expressway,gonna take,alright %int
^San ^Jose,actually in,very close
bowling alley the,directions to,yes please
the road,to follow,after the
the road,to follow,ohh I
the road,children on,right %int
the road,to follow,okay %int
the road,to follow,after this
the road,to follow,and make
the road,to follow,go straight
the road,to follow,after the
that,your next,is a
that,to buy,right buy
the post office,go to,go gym
the post office,go to,ohh would
the post office,lot behind,<noise> okay
the post office,done with,%uh-huh ohh
gym,office go,okay so
gym,post office,^McDonald's okay
gym,post office,^McDonald's okay
this point,right at,the gas
a bowling alley,conference center,a commissary
here,a left,<noise> make
here,%int yeah,and the
here,park right,yes okay
here,right %int,yes %spk
here,okay right,right here
here,here right,%int okay
