my hotel,street from,%spk alright
two building one five,off ^Phil,army barrack
^Oakland,live in,in ^Oakland
^Oakland,^Oakland in,yeah %uh-huh
@AMES @NASA,out of,%hes maybe
this one,right at,and a
this ^Moffett ^Field,you mean,area yeah
lot the parking,out of,and then
lot the parking,entrance into,and ^Nanotech
^Sam's house,cafe %hes,ohh ^Sam's
^Sam's house,house ohh,we make
entrance this,%int not,but the
^McDonald's,go to,as well
^McDonald's,gym first,okay so
^McDonald's,on to,nothing like
^McDonald's,stop sign,is on
^McDonald's,so yeah,it was
the next intersection,so at,we make
the next intersection,left at,ohh so
^Sam's,go to,%int %hes
the next stop sign,right at,%hes no
the next stop sign,left at,we make
the post office,a right,is on
the post office,get to,and go
barracks the army,distance between,and ^Nanotech
^Funds ^Crown,^Nanotech from,what's %hes
a conference center,go to,which has
^Perimeter ^Road,left on,is this
army barrack,five two,there you
this next intersection,left at,we're gonna
the museum,go to,%int okay
the museum,find at,okay %spk
the museum,is where,is so
the museum,side is,so we
the museum,we go,and then
the museum,done with,I hope
the museum,across from,should have
this stop sign,straight after,^McDonald's is
this stop sign,go past,we go
this stop sign,left at,we follow
that ^McDonald's,I've used,I've been
a commissary,bowling alley,or a
the stop sign,straight after,and the
the stop sign,left at,I can
the stop sign,right at,so we
the stop sign,straight after,the army
the stop sign,left at,%int I
the stop sign,left at,%int stupid
the stop sign,left at,the speed
the stop sign,right at,ohh I
the stop sign,left at,%int you
the stop sign,straight past,now maybe
house,at my,this afternoon
alley a bowling,they had,you had
a museum,commissary or,%hes let's
this parking lot,go past,okay on
that road,drive on,and then
three buildings,the first,on the
the _T junction,left at,%unint over
gas station the,a left,is on
fields ^Crown ^Start-Up,back to,okay and
section,to a,which has
^Nanotech,^Funds so,okay not
^Nanotech,far is,from ^Crown
^Nanotech,go to,or ^Nanotech
^Nanotech,^Nanotech or,or wherever
^Nanotech,barracks and,you'll have
^Nanotech,get to,from the
^Nanotech,meeting at,%hes ask
^Nanotech,you to,would you
^Nanotech,lot and,is the
swimming pool the,%uh-huh the,as it's
the expressway,we're taking,so we're
the expressway,to take,now we
the expressway,is this,this is
the expressway,this is,okay but
the junction,right at,we go
a bowling alley,%spk there's,a commissary
here,you been,before no
here,I've worked,for the
here,a right,and then
here,U-turn right,or just
here,a left,keep right
here,a ^McDonald's,they had
here,it from,you can
here,goes up,left at
here,just got,and I
here,you live,and work
here,come down,%spk I
here,speed limit,is fifteen
here,that live,or no
here,have accommodations,yeah so
here,lot not,but the
the hotel parking lot,left into,an immediate
that street,over on,yes right
this intersection,left at,we go
^Moffett,this mean,you mean
the ^McDonald's,vicinity of,yes so
vicinity the,working in,I I've
@NASA @AMES,%hes maybe,have something
^Crown ^Start-Up ^Funds,you to,yes for
^Crown ^Start-Up ^Funds,way to,would be
^Crown ^Start-Up ^Funds,truck and,is in
stop sign,at the,we make
stop sign,going straight,we make
^San ^Francisco,work in,huh I
^Moffett ^Field,explore in,<noise> okay
^Moffett ^Field,do in,you mentions
entire this area,%spk you,yeah yeah
barracks army,to %hes,right yes
the driveway,right into,drop off
stop sign the,straight after,the gym
it's,is it,not an
it's,hand side,it's %uh-huh
it's,side it's,%uh-huh the
it's,pool as,okay the
it's,left here,like a
it's,long as,close just
there,but in,you know
there,I've been,it was
there,to go,next yes
there,inside okay,there is
building one five two,it is,%uh-huh so
the hotel,back to,then okay
the hotel,directions to,okay so
the hotel,can see,from here
the hotel,road beyond,we gonna
the hotel,you in,lobby at
the hotel,meet at,at seven
the hotel,back to,to wash
the hotel,up with,I thought
the next one,entrance but,there's a
that,perfect and,is the
^Phil,can join,and I
cafeteria a good,which has,%int %hes
this,to so,is a
this,building so,actually used
this,didn't know,is actually
this,^Road is,the expressway
this,the expressway,is the
this,ohh so,is sort
^Crown ^Funds,we're at,so ^Nanotech
the gym,go to,for an
the gym,directions to,%int you
the gym,go to,actually yeah
the gym,go to,first ^McDonald's
the gym,stop sign,is on
the gym,workout at,%spk the
the gym,go past,and make
the gym,back to,yes I
four seventeen ^McCoon,address is,would you
street,on the,okay perfect
the drive-through,get to,we go
see on your right with the antenna on top the first building you,^Nanotech is,with the
it,all around,you'll find
it,of %hes,as I
it,I hope,was %hes
it,something is,it's not
it,right or,is no
it,you know,is actually
it,inside of,but then
it,I see,we make
it,been there,was open
it,yeah ^McDonald's,was good
it,can see,from here
it,go beyond,am I
it,remember where,is building
it,I thought,was across
intersection the next,lot at,we make
the pool,complex as,we make
the pool,gym %spk,looks nice
this road,go on,so we're
this road,keep to,till we
this road,and follow,on the
the building,park behind,okay %int
the building,go around,so this
the next entrance,here but,into the
sign the stop,straight after,there's a
sign the stop,left at,we keep
the army barracks,go to,and drop
the army barracks,directions to,so we
the army barracks,stop sign,is just
the army barracks,^Nanotech from,okay so
the army barracks,okay so,then right
next stop sign the,sign and,we make
this building,is in,that is
house ^Phil's,arrived at,on the
the nearest gas station,you to,yes would
the road,get to,we go
the road,curve of,and make
the road,we follow,and make
the road,we follow,beyond the
the road,no follow,oops okay
the road,gonna follow,and then
the road,curve of,%int ^Phil
the road,keep to,go straight
I,is convenient,could see
the hotel lobby,you in,at seven
the parking lot,%hes leave,%int okay
the parking lot,get into,okay so
the parking lot,pull into,at the
the parking lot,%hes leave,and I'll
the parking lot,getting into,on the
the parking lot,left into,not here
^Sam's cafe,yeah where's,%hes ^Sam's
^Nano ^Funds,close to,there is
the intersection,so at,we make
the intersection,right at,we make
the intersection,right at,we make
his house,meet at,for around
that museum,been inside,myself %int
post office,to the,%int that
drive-through the,of %hes,straight on
post office the,go to,they also
